"","True","Predicted"
"103.SA2",0,0.0713
"103.CF3",1,1
"103.CL4",1,0.68185
"103.GB2",0,0.0544
"103.CL2",1,0.962933333333333
"103.RT2",0,0.10685
"103.JT1",0,0.1984
"103.PE2",1,0.99625
"103.SR1",1,0.285366666666667
"103.PE5",1,0.99625
"103.HJ2",1,0.991066666666667
"103.MT2",1,0.93895
"103.SR3",1,0.122783333333333
"103.HI4",1,0.995166666666667
"103.LQ2",1,0.994466666666667
"103.GB1",1,0.72655
"103.LQ3",1,0.99825
"103.DF1",1,0.9808
"103.TL3",1,0.986866666666667
"103.BF2",1,0.993466666666667
"103.IE1",1,0.980966666666667
"103.SK2",1,0.779566666666667
"103.PE3",1,0.994416666666667
"103.IE2",1,0.941066666666667
"103.BZ1",1,0.98175
"103.SN3",1,0.877133333333333
"103.VC1",1,0.9462
"103.CR1",0,0.0366166666666667
"103.SV1",0,0.03765
"103.SF1",0,0.02145
"103.VC2",1,0.890466666666667
"103.SB1",0,0.0622666666666667
"103.MT1",0,0.393133333333333
"103.CF2",1,0.997166666666667
"103.BB2",1,0.992316666666667
"103.MD3",0,0.238366666666667
